Time,Trial
1.8960000000000001,0.0
1.981,0.0
2.106,0.0
2.325,0.0
1.871,1.0
1.958,1.0
2.076,1.0
2.263,1.0
1.893,2.0
1.973,2.0
2.093,2.0
2.321,2.0
1.881,3.0
1.969,3.0
2.085,3.0
2.279,3.0
1.8920000000000001,4.0
1.977,4.0
2.091,4.0
2.279,4.0
3.427,4.0
1.866,5.0
1.948,5.0
2.055,5.0
2.234,5.0
3.4010000000000002,5.0
1.8860000000000001,6.0
1.971,6.0
2.081,6.0
2.275,6.0
2.8970000000000002,6.0
1.8920000000000001,7.0
1.976,7.0
2.098,7.0
2.297,7.0
1.8960000000000001,8.0
1.984,8.0
2.101,8.0
2.301,8.0
1.893,9.0
1.978,9.0
2.1,9.0
2.3040000000000003,9.0
